TYPE,YEAR,MONTH,HUNDRED_BLOCK
Theft From Auto Under $5000,2011,01,18XX SPYGLASS PL
Theft From Auto Under $5000,2011,01,35XX W 26TH AVE
Theft From Auto Under $5000,2011,01,12XX E 49TH AVE
Theft From Auto Under $5000,2011,01,21XX FERNDALE ST
Theft From Auto Under $5000,2011,01,31XX E 15TH AVE
Theft From Auto Under $5000,2011,01,27XX W 15TH AVE
Theft From Auto Under $5000,2011,01,15XX MARINER WALK
Theft From Auto Under $5000,2011,01,9XX W 7TH AVE
Theft From Auto Under $5000,2011,01,18XX SPYGLASS PL
Theft From Auto Under $5000,2011,01,8XX AVISON WAY
Theft From Auto Under $5000,2011,01,9XX W 7TH AVE
Theft From Auto Under $5000,2011,01,E BROADWAY AVE / VICTORIA DR
Theft From Auto Under $5000,2011,01,COMMERCIAL DR / E BROADWAY AVE
Theft From Auto Under $5000,2011,01,12XX W CORDOVA ST
Theft From Auto Under $5000,2011,01,9XX BEATTY ST
Theft From Auto Under $5000,2011,01,18XX SPYGLASS PL
Theft From Auto Under $5000,2011,01,10XX BEACH AVE
Theft From Auto Under $5000,2011,01,43XX WILLOW ST
Theft From Auto Under $5000,2011,01,34XX SE MARINE DR
Theft From Auto Under $5000,2011,01,33XX CHARLES ST
Theft From Auto Under $5000,2011,01,14XX HARWOOD ST
Theft From Auto Under $5000,2011,01,36XX E 27TH AVE
Theft From Auto Under $5000,2011,01,E GEORGIA ST / MAIN ST
Theft From Auto Under $5000,2011,01,COMMERCIAL DR / E HASTINGS ST
Theft From Auto Under $5000,2011,01,5XX W GEORGIA ST
Theft From Auto Under $5000,2011,01,1XX ALEXANDER ST
Theft From Auto Under $5000,2011,01,BURRARD ST / W CORDOVA ST
Theft From Auto Under $5000,2011,01,12XX HOWE ST
Theft From Auto Under $5000,2011,01,24XX YORK AVE
Theft From Auto Under $5000,2011,01,DAVIE ST / NICOLA ST
Theft From Auto Under $5000,2011,01,7XX RICHARDS ST
Theft From Auto Under $5000,2011,01,22XX KINGSWAY AVE
Theft From Auto Under $5000,2011,01,KINGSWAY AVE / VICTORIA DR
Theft From Auto Under $5000,2011,01,10XX BEACH AVE
Theft From Auto Under $5000,2011,01,43XX COLLINGWOOD ST
Theft From Auto Under $5000,2011,01,1XX E CORDOVA ST
Theft From Auto Under $5000,2011,01,4XX SEYMOUR ST
Theft From Auto Under $5000,2011,01,7XX E 20TH AVE
Theft From Auto Under $5000,2011,01,10XX NELSON ST
Theft From Auto Under $5000,2011,01,7XX W GEORGIA ST
Theft From Auto Under $5000,2011,01,2XX LAKEWOOD DR
Theft From Auto Under $5000,2011,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2011,01,1XX REGIMENT SQ
Theft From Auto Under $5000,2011,01,46XX MARGUERITE ST
Theft From Auto Under $5000,2011,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2011,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2011,01,74XX WEST BLVD
Theft From Auto Under $5000,2011,01,9XX W BROADWAY AVE
Theft From Auto Under $5000,2011,01,13XX BURRARD ST
Theft From Auto Under $5000,2011,01,11XX W HASTINGS ST
Theft From Auto Under $5000,2011,01,SEYMOUR ST / W GEORGIA ST
Theft From Auto Under $5000,2011,01,10XX W BROADWAY AVE
Theft From Auto Under $5000,2011,01,13XX HOMER ST
Theft From Auto Under $5000,2011,01,9XX BURRARD ST
Theft From Auto Under $5000,2011,01,1XX REGIMENT SQ
Theft From Auto Under $5000,2011,01,E GEORGIA ST / MAIN ST
Theft From Auto Under $5000,2011,01,47XX NW MARINE DR
Theft From Auto Under $5000,2011,01,4XX DENMAN ST
Theft From Auto Under $5000,2011,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2011,01,1XX REGIMENT SQ
Theft From Auto Under $5000,2011,01,24XX E 20TH AVE
Theft From Auto Under $5000,2011,01,4XX KEEFER ST
Theft From Auto Under $5000,2011,01,35XX E 25TH AVE
Theft From Auto Under $5000,2011,01,33XX QUEENS AVE
Theft From Auto Under $5000,2011,01,1XX W 13TH AVE
Theft From Auto Under $5000,2011,01,9XX W 13TH AVE
Theft From Auto Under $5000,2011,01,6XX W 7TH AVE
Theft From Auto Under $5000,2011,01,W CORDOVA ST / WATER ST
Theft From Auto Under $5000,2011,01,13XX HOMER ST
Theft From Auto Under $5000,2011,01,6XX W 10TH AVE
Theft From Auto Under $5000,2011,01,6XX RAYMUR AVE
Theft From Auto Under $5000,2011,01,6XX CITADEL PRDE
Theft From Auto Under $5000,2011,01,52XX CHAMBERS ST
Theft From Auto Under $5000,2011,01,3XX E 15TH AVE
Theft From Auto Under $5000,2011,01,12XX MARINASIDE CRES
Theft From Auto Under $5000,2011,01,12XX MARINASIDE CRES
